place,category,prcof,HHTYP,amount,Flag and Footnotes
Lithuania,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Lithuania,Device for internet access: handheld computer,Percentage of households,Total,0,
Lithuania,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Lithuania,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Lithuania,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Luxembourg,Device for internet access: desktop or portable computer,Percentage of households,Total,95,
Luxembourg,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,99,
Luxembourg,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Luxembourg,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Luxembourg,Device for internet access: handheld computer,Percentage of households,Total,0,
Luxembourg,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Luxembourg,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Luxembourg,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Hungary,Device for internet access: desktop or portable computer,Percentage of households,Total,71,
Hungary,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,
Hungary,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Hungary,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Hungary,Device for internet access: handheld computer,Percentage of households,Total,0,
Hungary,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Hungary,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Hungary,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Malta,Device for internet access: desktop or portable computer,Percentage of households,Total,78,
Malta,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,
Malta,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Malta,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Malta,Device for internet access: handheld computer,Percentage of households,Total,0,
Malta,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Malta,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Malta,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Netherlands,Device for internet access: desktop or portable computer,Percentage of households,Total,94,
Netherlands,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Netherlands,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Netherlands,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Netherlands,Device for internet access: handheld computer,Percentage of households,Total,0,
Netherlands,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Netherlands,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
